instr,addr,pipe,call_count,cycles,running_time(us),detail
BAR,282136720,ALL,1,563,0.310000,"PIPE:ALL"
MOV_OUT_TO_UB,282136712,MTE2,1,562,0.310000,"Src:OUT,Dst:UB,XD:X2=0x2000,XN:X0=0x11305800,XM:X4=0x1000010,id:4"
MOV_OUT_TO_UB,282136700,MTE2,1,481,0.270000,"Src:OUT,Dst:UB,XD:X5=0,XN:X0=0x112f5600,XM:X4=0x1000010,id:2"
LD_XD_XN_IMM,282136644,SCALAR,1,362,0.200000,"dtype:B64,XD:X0=0,XN:X0=0x1022fe00,IMM:0,"
LDP_XI_XJ_XN,282136640,SCALAR,1,362,0.200000,"dtype:B64,XI:X2=0,XJ:X1=0,XN:X0=0x1022fe00,IMM:0x8,"
BAR,282136812,ALL,1,296,0.160000,"PIPE:ALL"
MOV_UB_TO_OUT,282136808,MTE3,1,294,0.160000,"Src:UB,Dst:OUT,XD:X0=0x11315a00,XN:X3=0x4000,XM:X4=0x1000010,id:6"
VADD,282136772,VECTOR,1,88,0.050000,"XD:X3=0x4000,XN:X5=0,XM:X2=0x2000,XT:X1=0x100080808010101,Dtype:F32,Id:49"
BAR,282136804,ALL,1,87,0.050000,"PIPE:ALL"
MOVEMASK,282136800,VECTOR,1,85,0.050000,"XN:X1=0xffffffffffffffff,Pos:0,Id:56"
MOVEMASK,282136796,VECTOR,1,85,0.050000,"XN:X1=0xffffffffffffffff,Pos:1,Id:55"
MOVEMASK,282136732,VECTOR,1,16,0.010000,"XN:X1=0x800,Pos:0,Id:39"
MOVEMASK,282136768,VECTOR,1,16,0.010000,"XN:X5=0,Pos:1,Id:48"
MOVEMASK,282136620,VECTOR,1,16,0.010000,"XN:X0=0xffffffffffffffff,Pos:0,Id:11"
MOVEMASK,282136624,VECTOR,1,16,0.010000,"XN:X0=0xffffffffffffffff,Pos:1,Id:12"
DCCI,282136824,FLOWCTRL,1,5,0.000000,"XN:X15=0,"
MADD,282136616,SCALAR,1,3,0.000000,"dtype:S64,XD:X29=0x1c7fa0,XN:X15=0x18,XM:X17=0x8000,"
INSERT_XD,282136740,SCALAR,1,1,0.000000,"XD:X1=0x100000000000000,IMM:0x1,POSITION:0x38,EXT:0,"
MOV_XD_IMM,282136708,SCALAR,1,1,0.000000,"XD:X2=0x2000,IMM:0x2000,"
MOVK,282136580,SCALAR,1,1,0.000000,"XD:X29=0x107fa0,IMM:0x10,UIMM:0x1,"
MOV_XD_IMM,282136816,SCALAR,1,1,0.000000,"XD:X15=0,IMM:0,"
ADD,282136716,SCALAR,1,1,0.000000,"dtype:S64,XD:X0=0x11315a00,XN:X1=0x11315a00,XM:X3=0,"
NEG,282136792,SCALAR,1,1,0.000000,"dtype:S64,XD:X1=0xffffffffffffffff,XN:X1=0x1,"
MOV_XD_IMM,282136724,SCALAR,1,1,0.000000,"XD:X1=0x800,IMM:0x800,"
MOV_XD_IMM,282136784,SCALAR,1,1,0.000000,"XD:X1=0x1,IMM:0x1,"
MOV_XD_SPR,282136736,SCALAR,1,1,0.000000,"XD:X1=0,SPR:CTRL,"
MOV_XD_SPR,282136776,SCALAR,1,1,0.000000,"XD:X2=0x100000000000000,SPR:CTRL,"
MOV_XD_IMM,282136748,SCALAR,1,1,0.000000,"XD:X1=0x101,IMM:0x101,"
MOVK,282136752,SCALAR,1,1,0.000000,"XD:X1=0x8010101,IMM:0x801,UIMM:0x1,"
MOVK,282136756,SCALAR,1,1,0.000000,"XD:X1=0x80808010101,IMM:0x808,UIMM:0x2,"
MOVK,282136760,SCALAR,1,1,0.000000,"XD:X1=0x100080808010101,IMM:0x100,UIMM:0x3,"
MOV_XD_IMM,282136764,SCALAR,1,1,0.000000,"XD:X3=0x4000,IMM:0x4000,"
INSERT_XD,282136780,SCALAR,1,1,0.000000,"XD:X2=0,IMM:0,POSITION:0x38,EXT:0,"
MOV_XD_IMM,282136696,SCALAR,1,1,0.000000,"XD:X5=0,IMM:0,"
MOV_XD_IMM,282136576,SCALAR,1,1,0.000000,"XD:X29=0x7fa0,IMM:0x7fa0,"
MOV_XD_SPR,282136584,SCALAR,1,1,0.000000,"XD:X15=0,SPR:SYS_VA_BASE,"
ADD,282136588,SCALAR,1,1,0.000000,"dtype:S64,XD:X29=0x107fa0,XN:X29=0x107fa0,XM:X15=0,"
MOV_XD_SPR,282136592,SCALAR,1,1,0.000000,"XD:X15=0x18,SPR:COREID,"
MOV_XD_IMM,282136596,SCALAR,1,1,0.000000,"XD:X16=0x7fff,IMM:0x7fff,"
MOV_XD_IMM,282136600,SCALAR,1,1,0.000000,"XD:X0=0x1,IMM:0x1,"
AND,282136604,SCALAR,1,1,0.000000,"dtype:B64,XD:X15=0x18,XN:X15=0x18,XM:X16=0x7fff,"
MOV_XD_IMM,282136608,SCALAR,1,1,0.000000,"XD:X17=0x8000,IMM:0x8000,"
NEG,282136612,SCALAR,1,1,0.000000,"dtype:S64,XD:X0=0xffffffffffffffff,XN:X0=0x1,"
ADD_IMM,282136628,SCALAR,1,1,0.000000,"dtype:S64,XD:X30=0x1c8728,XN:X29=0x1c7fa0,IMM:0x788,"
MOV_XD_SPR,282136632,SCALAR,1,1,0.000000,"XD:X0=0x1022fe00,SPR:PARA_BASE,"
MOV_XD_IMM,282136636,SCALAR,1,1,0.000000,"XD:X4=0,IMM:0,"
MOV_XD_SPR,282136648,SCALAR,1,1,0.000000,"XD:X3=0,SPR:CTRL,"
MOV_XD_IMM,282136656,SCALAR,1,1,0.000000,"XD:X4=0xe000,IMM:0xe000,"
ADD,282136704,SCALAR,1,1,0.000000,"dtype:S64,XD:X0=0x11305800,XN:X2=0x11305800,XM:X3=0,"
MOVK,282136692,SCALAR,1,1,0.000000,"XD:X4=0x1000010,IMM:0x100,UIMM:0x1,"
ADD,282136688,SCALAR,1,1,0.000000,"dtype:S64,XD:X0=0x112f5600,XN:X0=0x112f5600,XM:X3=0,"
MOV_XD_IMM,282136684,SCALAR,1,1,0.000000,"XD:X4=0x10,IMM:0x10,"
