instr,addr,pipe,call_count,cycles,running_time(us),detail
STI_XN_IMM,282136868,SCALAR,1,514,0.290000,"dtype:B32,XN:X30=0x107dc8,IMM:0xc48,#POST:0,#IMM_TYPE:ONE,"
STI_XN_IMM,282136872,SCALAR,1,514,0.290000,"dtype:B8,XN:X30=0x107dc8,IMM:0xc50,#POST:0,#IMM_TYPE:ZERO,"
STI_XN_IMM,282136876,SCALAR,1,514,0.290000,"dtype:B8,XN:X30=0x107dc8,IMM:0xc68,#POST:0,#IMM_TYPE:ZERO,"
STI_XN_IMM,282136860,SCALAR,1,483,0.270000,"dtype:B32,XN:X30=0x107dc8,IMM:0xc08,#POST:0,#IMM_TYPE:ONE,"
STI_XN_IMM,282136864,SCALAR,1,483,0.270000,"dtype:B32,XN:X30=0x107dc8,IMM:0xc28,#POST:0,#IMM_TYPE:ONE,"
LDP_XI_XJ_XN,282137144,SCALAR,1,362,0.200000,"dtype:B32,XI:X4=0,XJ:X17=0,XN:X4=0x11386280,IMM:0,"
LDP_XI_XJ_XN,282136888,SCALAR,1,362,0.200000,"dtype:B32,XI:X7=0,XJ:X6=0,XN:X5=0x11386200,IMM:0,"
LDP_XI_XJ_XN,282137016,SCALAR,1,362,0.200000,"dtype:B32,XI:X8=0,XJ:X4=0,XN:X8=0x11386240,IMM:0,"
LDP_XI_XJ_XN,282137272,SCALAR,1,361,0.200000,"dtype:B32,XI:X17=0,XJ:X5=0,XN:X17=0x113862c0,IMM:0,"
LDP_XI_XJ_XN,282136628,SCALAR,1,361,0.200000,"dtype:B64,XI:X0=0,XJ:X5=0,XN:X0=0x1022fe20,IMM:0,"
LDP_XI_XJ_XN,282136624,SCALAR,1,361,0.200000,"dtype:B64,XI:X3=0,XJ:X2=0,XN:X1=0x1022fe00,IMM:0,"
ST_XD_XN_IMM,282136884,SCALAR,1,295,0.160000,"dtype:B64,XD:X6=0x107a60,XN:X30=0x107dc8,IMM:0xae0,"
STI_XN_IMM,282136696,SCALAR,1,290,0.160000,"dtype:B64,XN:X30=0x107dc8,IMM:0xc98,#POST:0,#IMM_TYPE:ZERO,"
STP_XI_XJ_XN,282136700,SCALAR,1,290,0.160000,"dtype:B64,XI:X1=0,XJ:X1=0,XN:X4=0x107a68,IMM:0,"
ST_XD_XN_IMM,282136844,SCALAR,1,289,0.160000,"dtype:B64,XD:X6=0x107a60,XN:X1=0x100000,IMM:0,"
STP_XI_XJ_XN,282136932,SCALAR,1,289,0.160000,"dtype:B32,XI:X14=0xffffffff,XJ:X10=0x599d,XN:X4=0x1078c0,IMM:0,"
STP_XI_XJ_XN,282137056,SCALAR,1,288,0.160000,"dtype:B32,XI:X8=0x34367332,XJ:X4=0x3233732c,XN:X9=0x107900,IMM:0,"
STI_XN_IMM,282136856,SCALAR,1,288,0.160000,"dtype:B32,XN:X30=0x107dc8,IMM:0xbe8,#POST:0,#IMM_TYPE:ONE,"
ST_XD_XN_IMM,282136664,SCALAR,1,288,0.160000,"dtype:B32,XD:X4=0x7ff80,XN:X30=0x107dc8,IMM:0x1a0,"
STI_XN_IMM,282136852,SCALAR,1,288,0.160000,"dtype:B32,XN:X30=0x107dc8,IMM:0xbc8,#POST:0,#IMM_TYPE:ONE,"
ST_XD_XN_IMM,282137176,SCALAR,1,287,0.160000,"dtype:B32,XD:X17=0x33662c7a,XN:X30=0x107dc8,IMM:0xb78,"
STI_XN_IMM,282136676,SCALAR,1,287,0.160000,"dtype:B8,XN:X30=0x107dc8,IMM:0x1a4,#POST:0,#IMM_TYPE:ZERO,"
STP_XI_XJ_XN,282136948,SCALAR,1,283,0.160000,"dtype:B32,XI:X13=0x32323373,XJ:X11=0x72323366,XN:X4=0x1078c8,IMM:0,"
STP_XI_XJ_XN,282137072,SCALAR,1,281,0.160000,"dtype:B32,XI:X8=0x36317332,XJ:X4=0x3436732c,XN:X9=0x107908,IMM:0,"
ST_XD_XN_IMM,282137184,SCALAR,1,281,0.160000,"dtype:B32,XD:X17=0x66623232,XN:X30=0x107dc8,IMM:0xb7c,"
STP_XI_XJ_XN,282136960,SCALAR,1,277,0.150000,"dtype:B32,XI:X12=0x3233732c,XJ:X4=0x32336632,XN:X8=0x1078d0,IMM:0,"
STP_XI_XJ_XN,282136680,SCALAR,1,276,0.150000,"dtype:B64,XI:X1=0,XJ:X1=0,XN:X4=0x107b20,IMM:0,"
